Subject,Body,Attachment,Label
Bug report,Can you please help me reset my password?,Yes,support
Your account will be locked,Someone tried to log in to your account from a new device.,No,phishing
Unauthorized login attempt,Your account will be suspended if you do not verify your details.,No,phishing
Where is my order?,The app keeps crashing on my phone.,Yes,support
Technical issue,Please assist me with unlocking my account.,Yes,support
Invoice discrepancy,The app keeps crashing on my phone.,No,support
Need assistance with setup,How do I update my billing information?,No,support
Confirm your identity,We need to verify your information for security purposes.,Yes,phishing
Checking in,Are you free this weekend for a hike?,No,ham
Good morning,Are you free this weekend for a hike?,No,ham
Lowest prices guaranteed,Don't miss out on this amazing opportunity.,No,spam
Refund request,I would like to request a refund for my last purchase.,Yes,support
Update your payment info,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Account locked,Can you please help me reset my password?,No,support
Vacation photos,Let's grab dinner tonight at that new place.,Yes,ham
Please validate your credentials,Please confirm your recent transaction.,Yes,phishing
Free gift card,Reply to this email to claim your gift.,No,spam
Investment opportunity,No credit check required.,Yes,spam
Lottery winner,Click here to claim your prize today.,Yes,spam
Technical issue,I have a question about my recent invoice.,Yes,support
Technical issue,My order hasn't arrived yet. Can you check the status?,No,support
Where is my order?,How do I update my billing information?,No,support
Urgent: Account compromised,Your account will be suspended if you do not verify your details.,No,phishing
Lunch tomorrow,Just confirming we’re still on for lunch at 12:30.,No,ham
Your lucky day,Don't miss out on this amazing opportunity.,No,spam
Presentation slides,Just wanted to check in and see how you're doing.,Yes,ham
Unauthorized login attempt,Please update your payment information to avoid service interruption.,No,phishing
Quick question,Do you have a minute to chat?,Yes,ham
Lunch tomorrow,Just wanted to check in and see how you're doing.,No,ham
Password expiration notice,Your account has been compromised. Please click the link to secure it.,No,phishing
Refund request,Can you please help me reset my password?,Yes,support
Investment opportunity,You have been selected for a special offer.,No,spam
Your account will be locked,"To unlock your account, please sign in here.",Yes,phishing
Meet singles near you,You have been selected for a special offer.,No,spam
Feature request,Can you please help me reset my password?,Yes,support
Get rich quick,You have been selected for a special offer.,No,spam
Make money from home,No credit check required.,Yes,spam
Need assistance with setup,The app keeps crashing on my phone.,Yes,support
Follow up,Here are some photos from my trip.,No,ham
Action required immediately,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Contact support,Please assist me with unlocking my account.,No,support
Cheap meds online,Buy now and save 50%.,Yes,spam
Account locked,How do I update my billing information?,No,support
Unusual sign-in activity,Your account will be suspended if you do not verify your details.,Yes,phishing
Meeting notes,Do you have a minute to chat?,No,ham
Reminder: Doctor's appointment,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Claim your reward now,Don't miss out on this amazing opportunity.,No,spam
Good morning,Let's grab dinner tonight at that new place.,Yes,ham
Casino bonus,Don't miss out on this amazing opportunity.,No,spam
Quick question,Let's grab dinner tonight at that new place.,Yes,ham
Limited time offer,Sign up today and get a free trial.,No,spam
Get rich quick,Don't miss out on this amazing opportunity.,No,spam
Thank you,Here are some photos from my trip.,No,ham
Invoice discrepancy,I would like to request a refund for my last purchase.,Yes,support
Investment opportunity,Guaranteed returns on your investment.,Yes,spam
Coffee break,Here are the notes from today's meeting.,Yes,ham
Unable to access account,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Your account will be locked,"To unlock your account, please sign in here.",Yes,phishing
Suspicious activity detected,"To unlock your account, please sign in here.",Yes,phishing
Meet singles near you,Don't miss out on this amazing opportunity.,No,spam
Where is my order?,How do I update my billing information?,Yes,support
Cheap meds online,Reply to this email to claim your gift.,Yes,spam
Quick question,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Presentation slides,Do you have a minute to chat?,Yes,ham
Suspicious activity detected,Your account has been compromised. Please click the link to secure it.,No,phishing
Lunch tomorrow,Just confirming we’re still on for lunch at 12:30.,No,ham
Subscription renewal,I'm getting an error message when I try to pay.,No,support
Casino bonus,Click here to claim your prize today.,Yes,spam
Lottery winner,Sign up today and get a free trial.,No,spam
Act now!,This is your chance to change your life.,No,spam
Investment opportunity,You have been selected for a special offer.,Yes,spam
Account locked,I would like to request a refund for my last purchase.,Yes,support
Where is my order?,My order hasn't arrived yet. Can you check the status?,No,support
Where is my order?,My order hasn't arrived yet. Can you check the status?,Yes,support
Reminder: Doctor's appointment,Just wanted to check in and see how you're doing.,Yes,ham
Confirm your identity,We detected unusual activity. Verify your identity immediately.,No,phishing
Payment failed,How do I update my billing information?,No,support
Act now!,Sign up today and get a free trial.,No,spam
Bank account alert,Click the link below to reset your password.,No,phishing
Suspicious activity detected,We need to verify your information for security purposes.,Yes,phishing
Best deals of the year,"Limited stock available, order now.",No,spam
Update your payment info,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Lottery winner,Buy now and save 50%.,No,spam
Your lucky day,Reply to this email to claim your gift.,No,spam
Win a free iPhone,Guaranteed returns on your investment.,Yes,spam
Technical issue,I'm getting an error message when I try to pay.,Yes,support
Login to view message,"To unlock your account, please sign in here.",No,phishing
Quick question,Let's grab dinner tonight at that new place.,No,ham
Happy Birthday!,Just confirming we’re still on for lunch at 12:30.,No,ham
Check your recent transaction,"To unlock your account, please sign in here.",No,phishing
Billing question,How do I update my billing information?,Yes,support
Urgent: Account compromised,Please confirm your recent transaction.,Yes,phishing
Important security update,Click the link below to reset your password.,Yes,phishing
Your account will be locked,Please confirm your recent transaction.,No,phishing
Error message on login,How do I update my billing information?,No,support
Urgent: Account compromised,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Unusual sign-in activity,We need to verify your information for security purposes.,Yes,phishing
Quick question,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Need assistance with setup,I would like to request a refund for my last purchase.,No,support
Thank you,Here are some photos from my trip.,Yes,ham
Limited time offer,Don't miss out on this amazing opportunity.,Yes,spam
Huge discount inside,"Limited stock available, order now.",Yes,spam
Lottery winner,Guaranteed returns on your investment.,Yes,spam
Important security update,Click the link below to reset your password.,Yes,phishing
Change email address,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Free gift card,Click here to claim your prize today.,Yes,spam
You won a prize!,Click here to claim your prize today.,No,spam
Lottery winner,No credit check required.,Yes,spam
Follow up,Do you have a minute to chat?,Yes,ham
Login to view message,Your account will be suspended if you do not verify your details.,No,phishing
Win a free iPhone,This is your chance to change your life.,Yes,spam
Payment failed,My order hasn't arrived yet. Can you check the status?,Yes,support
Error message on login,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Meet singles near you,Don't miss out on this amazing opportunity.,No,spam
Error message on login,I'm getting an error message when I try to pay.,Yes,support
Dinner tonight?,Let's grab dinner tonight at that new place.,No,ham
Can we reschedule?,Let's grab dinner tonight at that new place.,No,ham
Need assistance with setup,I'm getting an error message when I try to pay.,Yes,support
Casino bonus,Click here to claim your prize today.,No,spam
Check your recent transaction,Please confirm your recent transaction.,No,phishing
Your account will be locked,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Limited time offer,Click here to claim your prize today.,Yes,spam
Invoice discrepancy,How do I update my billing information?,Yes,support
Coffee break,Hope you have a great birthday!,No,ham
Your lucky day,Don't miss out on this amazing opportunity.,No,spam
Can we reschedule?,Just wanted to check in and see how you're doing.,No,ham
Lose weight fast,This is your chance to change your life.,No,spam
Get rich quick,Guaranteed returns on your investment.,No,spam
Password expiration notice,Please update your payment information to avoid service interruption.,No,phishing
App crashing,My order hasn't arrived yet. Can you check the status?,No,support
Payment failed,Can you please help me reset my password?,No,support
Best deals of the year,Don't miss out on this amazing opportunity.,No,spam
Follow up,Hope you have a great birthday!,No,ham
Suspicious activity detected,We need to verify your information for security purposes.,Yes,phishing
Please validate your credentials,"To unlock your account, please sign in here.",No,phishing
Password reset help,I have a question about my recent invoice.,Yes,support
Investment opportunity,You have been selected for a special offer.,Yes,spam
Check your recent transaction,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Subscription renewal,Please assist me with unlocking my account.,No,support
Update your payment info,"To unlock your account, please sign in here.",Yes,phishing
Your access is restricted,Click the link below to reset your password.,Yes,phishing
Billing question,I would like to request a refund for my last purchase.,Yes,support
Unable to access account,My order hasn't arrived yet. Can you check the status?,No,support
Happy Birthday!,Do you have a minute to chat?,Yes,ham
Free gift card,Sign up today and get a free trial.,No,spam
Your account will be locked,Please update your payment information to avoid service interruption.,No,phishing
Account locked,My order hasn't arrived yet. Can you check the status?,Yes,support
Checking in,Here are the notes from today's meeting.,No,ham
Project update,Here are the notes from today's meeting.,Yes,ham
Update your payment info,Your account has been compromised. Please click the link to secure it.,No,phishing
Draft report,Here are the notes from today's meeting.,Yes,ham
App crashing,Please assist me with unlocking my account.,No,support
Check your recent transaction,Failure to respond will result in account termination.,No,phishing
Weekend plans,Can you send me the slides from the presentation?,No,ham
Please validate your credentials,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Help needed,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Vacation photos,Do you have a minute to chat?,No,ham
Important security update,Someone tried to log in to your account from a new device.,Yes,phishing
You won a prize!,You have been selected for a special offer.,Yes,spam
Limited time offer,Guaranteed returns on your investment.,No,spam
Draft report,Let's grab dinner tonight at that new place.,No,ham
Limited time offer,You have been selected for a special offer.,No,spam
Weekend plans,Are you free this weekend for a hike?,No,ham
Check your recent transaction,Someone tried to log in to your account from a new device.,No,phishing
Meet singles near you,Guaranteed returns on your investment.,No,spam
Exclusive offer just for you,This is your chance to change your life.,No,spam
Dinner tonight?,Are you free this weekend for a hike?,No,ham
You won a prize!,Sign up today and get a free trial.,No,spam
Important security update,Your account will be suspended if you do not verify your details.,No,phishing
Limited time offer,This is your chance to change your life.,Yes,spam
Billing question,The app keeps crashing on my phone.,No,support
Bank account alert,Click the link below to reset your password.,No,phishing
Meet singles near you,No credit check required.,No,spam
Update your payment info,We need to verify your information for security purposes.,No,phishing
Verify your email address,Failure to respond will result in account termination.,No,phishing
Verify your email address,Click the link below to reset your password.,No,phishing
Win a free iPhone,Click here to claim your prize today.,Yes,spam
Bug report,The app keeps crashing on my phone.,No,support
Invitation,Let's grab dinner tonight at that new place.,No,ham
Get rich quick,Sign up today and get a free trial.,Yes,spam
Bank account alert,Failure to respond will result in account termination.,No,phishing
Can we reschedule?,Are you free this weekend for a hike?,No,ham
Congratulations! You are a winner,Don't miss out on this amazing opportunity.,No,spam
Checking in,Hope you have a great birthday!,No,ham
Error message on login,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Exclusive offer just for you,Sign up today and get a free trial.,Yes,spam
Need assistance with setup,My order hasn't arrived yet. Can you check the status?,No,support
Lottery winner,No credit check required.,Yes,spam
Need assistance with setup,How do I update my billing information?,Yes,support
Win a free iPhone,Don't miss out on this amazing opportunity.,Yes,spam
Feature request,How do I update my billing information?,Yes,support
Check your recent transaction,Please update your payment information to avoid service interruption.,Yes,phishing
Unable to access account,I'm getting an error message when I try to pay.,Yes,support
App crashing,How do I update my billing information?,No,support
Exclusive offer just for you,Don't miss out on this amazing opportunity.,No,spam
Act now!,Sign up today and get a free trial.,No,spam
Refund request,I can't find the setting to change my email.,Yes,support
Coffee break,Are you free this weekend for a hike?,Yes,ham
Subscription renewal,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Order status inquiry,I'm getting an error message when I try to pay.,Yes,support
Contact support,My order hasn't arrived yet. Can you check the status?,Yes,support
Payment failed,I have a question about my recent invoice.,Yes,support
Win a free iPhone,You have been selected for a special offer.,No,spam
You won a prize!,No credit check required.,No,spam
Where is my order?,How do I update my billing information?,Yes,support
Error message on login,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Bug report,I have a question about my recent invoice.,No,support
Payment failed,I have a question about my recent invoice.,No,support
You won a prize!,Click here to claim your prize today.,No,spam
Lunch tomorrow,Are you free this weekend for a hike?,Yes,ham
Bug report,The app keeps crashing on my phone.,No,support
Unable to access account,I have a question about my recent invoice.,Yes,support
Bug report,The app keeps crashing on my phone.,Yes,support
Presentation slides,Do you have a minute to chat?,No,ham
Meeting notes,Hope you have a great birthday!,Yes,ham
Act now!,"Limited stock available, order now.",No,spam
Account locked,My order hasn't arrived yet. Can you check the status?,Yes,support
Reminder: Doctor's appointment,Just wanted to check in and see how you're doing.,No,ham
Act now!,You have been selected for a special offer.,No,spam
Payment failed,I'm getting an error message when I try to pay.,No,support
Invitation,Do you have a minute to chat?,Yes,ham
Your lucky day,Click here to claim your prize today.,No,spam
Unauthorized login attempt,Someone tried to log in to your account from a new device.,Yes,phishing
Reminder: Doctor's appointment,Here are some photos from my trip.,No,ham
Thank you,Let's grab dinner tonight at that new place.,No,ham
Thank you,Here are the notes from today's meeting.,Yes,ham
Security Alert,Failure to respond will result in account termination.,Yes,phishing
Good morning,Hope you have a great birthday!,No,ham
Unusual sign-in activity,Failure to respond will result in account termination.,No,phishing
Check your recent transaction,"To unlock your account, please sign in here.",Yes,phishing
Your access is restricted,Click the link below to reset your password.,No,phishing
Subscription renewal,I have a question about my recent invoice.,No,support
Order status inquiry,Can you please help me reset my password?,Yes,support
Lottery winner,No credit check required.,No,spam
Limited time offer,You have been selected for a special offer.,No,spam
Invoice discrepancy,I have a question about my recent invoice.,No,support
Unauthorized login attempt,"To unlock your account, please sign in here.",Yes,phishing
Password expiration notice,Failure to respond will result in account termination.,Yes,phishing
Feature request,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Payment failed,How do I update my billing information?,Yes,support
Thank you,Are you free this weekend for a hike?,No,ham
Vacation photos,Attached is the latest version of the project report.,No,ham
Error message on login,Please assist me with unlocking my account.,No,support
Action required immediately,Your account has been compromised. Please click the link to secure it.,Yes,phishing
You won a prize!,Reply to this email to claim your gift.,Yes,spam
Checking in,Attached is the latest version of the project report.,No,ham
Coffee break,Hope you have a great birthday!,Yes,ham
Team outing,Here are the notes from today's meeting.,Yes,ham
Confirm your identity,We need to verify your information for security purposes.,No,phishing
Meet singles near you,Reply to this email to claim your gift.,Yes,spam
Free gift card,"Limited stock available, order now.",No,spam
Huge discount inside,No credit check required.,Yes,spam
Huge discount inside,Buy now and save 50%.,No,spam
Happy Birthday!,Attached is the latest version of the project report.,Yes,ham
Suspicious activity detected,Your account will be suspended if you do not verify your details.,No,phishing
Need assistance with setup,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Bank account alert,Your account has been compromised. Please click the link to secure it.,No,phishing
Coffee break,Attached is the latest version of the project report.,Yes,ham
Billing question,I can't find the setting to change my email.,Yes,support
Presentation slides,Let's grab dinner tonight at that new place.,No,ham
Secure your account now,Click the link below to reset your password.,Yes,phishing
Win a free iPhone,"Limited stock available, order now.",Yes,spam
Quick question,Let's grab dinner tonight at that new place.,No,ham
Where is my order?,I have a question about my recent invoice.,No,support
Team outing,Can you send me the slides from the presentation?,Yes,ham
Your account will be locked,"To unlock your account, please sign in here.",Yes,phishing
Verify your account,Your account will be suspended if you do not verify your details.,Yes,phishing
Presentation slides,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Exclusive offer just for you,This is your chance to change your life.,No,spam
Cheap meds online,Buy now and save 50%.,No,spam
Quick question,Here are the notes from today's meeting.,No,ham
Follow up,Here are the notes from today's meeting.,No,ham
Presentation slides,Do you have a minute to chat?,Yes,ham
Meet singles near you,You have been selected for a special offer.,Yes,spam
Exclusive offer just for you,Click here to claim your prize today.,Yes,spam
Payment failed,I can't find the setting to change my email.,Yes,support
Suspicious activity detected,We need to verify your information for security purposes.,Yes,phishing
Urgent: Account compromised,Your account will be suspended if you do not verify your details.,Yes,phishing
Win a free iPhone,"Limited stock available, order now.",No,spam
Checking in,Attached is the latest version of the project report.,No,ham
Secure your account now,Please update your payment information to avoid service interruption.,No,phishing
Cheap meds online,No credit check required.,Yes,spam
Lose weight fast,Guaranteed returns on your investment.,Yes,spam
Checking in,Hope you have a great birthday!,Yes,ham
Login to view message,Your account has been compromised. Please click the link to secure it.,No,phishing
Limited time offer,Click here to claim your prize today.,Yes,spam
Meet singles near you,Click here to claim your prize today.,Yes,spam
Your access is restricted,Please confirm your recent transaction.,No,phishing
Huge discount inside,No credit check required.,No,spam
Presentation slides,Just wanted to check in and see how you're doing.,Yes,ham
Action required immediately,Someone tried to log in to your account from a new device.,No,phishing
Your lucky day,Buy now and save 50%.,Yes,spam
Unable to access account,How do I update my billing information?,Yes,support
Make money from home,Guaranteed returns on your investment.,Yes,spam
Security Alert,Failure to respond will result in account termination.,No,phishing
Payment failed,I can't find the setting to change my email.,Yes,support
Refund request,I can't find the setting to change my email.,Yes,support
Unauthorized login attempt,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Payment failed,I'm getting an error message when I try to pay.,Yes,support
Unable to access account,I can't find the setting to change my email.,No,support
Change email address,Can you please help me reset my password?,No,support
Account locked,Please assist me with unlocking my account.,Yes,support
Thank you,Here are some photos from my trip.,Yes,ham
Quick question,Attached is the latest version of the project report.,Yes,ham
Can we reschedule?,Are you free this weekend for a hike?,No,ham
Unusual sign-in activity,Your account will be suspended if you do not verify your details.,No,phishing
Account locked,I have a question about my recent invoice.,No,support
Get rich quick,Don't miss out on this amazing opportunity.,No,spam
Please validate your credentials,Please update your payment information to avoid service interruption.,No,phishing
Team outing,Are you free this weekend for a hike?,Yes,ham
Account locked,I can't find the setting to change my email.,No,support
Your lucky day,Reply to this email to claim your gift.,Yes,spam
Unable to access account,I would like to request a refund for my last purchase.,Yes,support
Password reset help,The app keeps crashing on my phone.,No,support
Get rich quick,Buy now and save 50%.,No,spam
Lose weight fast,You have been selected for a special offer.,Yes,spam
Invitation,Do you have a minute to chat?,Yes,ham
Final warning,Click the link below to reset your password.,Yes,phishing
Claim your reward now,Sign up today and get a free trial.,Yes,spam
Draft report,Here are some photos from my trip.,Yes,ham
See you later,Attached is the latest version of the project report.,Yes,ham
Act now!,"Limited stock available, order now.",Yes,spam
Error message on login,I have a question about my recent invoice.,Yes,support
Exclusive offer just for you,"Limited stock available, order now.",Yes,spam
Congratulations! You are a winner,Buy now and save 50%.,Yes,spam
Quick question,Attached is the latest version of the project report.,Yes,ham
Need assistance with setup,My order hasn't arrived yet. Can you check the status?,No,support
Your account will be locked,Your account will be suspended if you do not verify your details.,No,phishing
Team outing,Are you free this weekend for a hike?,No,ham
Need assistance with setup,Can you please help me reset my password?,No,support
Lunch tomorrow,Let's grab dinner tonight at that new place.,No,ham
Verify your email address,Click the link below to reset your password.,No,phishing
Bug report,I have a question about my recent invoice.,No,support
Login problems,I have a question about my recent invoice.,Yes,support
Bug report,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
See you later,Attached is the latest version of the project report.,Yes,ham
Refund request,How do I update my billing information?,Yes,support
App crashing,I'm getting an error message when I try to pay.,No,support
Checking in,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Investment opportunity,This is your chance to change your life.,No,spam
Unauthorized login attempt,Please update your payment information to avoid service interruption.,No,phishing
Unauthorized login attempt,Please update your payment information to avoid service interruption.,Yes,phishing
Good morning,Are you free this weekend for a hike?,Yes,ham
Confirm your identity,We detected unusual activity. Verify your identity immediately.,No,phishing
Verify your email address,We detected unusual activity. Verify your identity immediately.,No,phishing
Need assistance with setup,I can't find the setting to change my email.,Yes,support
Reminder: Doctor's appointment,Hope you have a great birthday!,Yes,ham
Good morning,Do you have a minute to chat?,No,ham
Make money from home,Reply to this email to claim your gift.,Yes,spam
Change email address,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Your lucky day,This is your chance to change your life.,Yes,spam
Where is my order?,How do I update my billing information?,No,support
Verify your email address,Your account has been compromised. Please click the link to secure it.,No,phishing
Meeting notes,Do you have a minute to chat?,Yes,ham
Check your recent transaction,Your account will be suspended if you do not verify your details.,No,phishing
Feature request,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Win a free iPhone,"Limited stock available, order now.",Yes,spam
Need assistance with setup,I'm getting an error message when I try to pay.,Yes,support
Unable to access account,How do I update my billing information?,Yes,support
Good morning,Here are some photos from my trip.,No,ham
Free gift card,"Limited stock available, order now.",Yes,spam
Password reset help,I have a question about my recent invoice.,Yes,support
Important security update,We need to verify your information for security purposes.,No,phishing
Lose weight fast,No credit check required.,No,spam
